feature_set,model,fold,r2,rmse,mae
O+S,elastic_net,2,0.04412583595141517,0.24004933506509127,0.18506966182446294
O+S,elastic_net,3,0.03049864010198411,0.24863074929831142,0.19385123655219313
O+S,elastic_net,4,0.04043277935356737,0.26357474453062385,0.1994020142675541
O+S,elastic_net,5,0.03732258532729038,0.2523103453687081,0.19594486989758425
O+S,elastic_net,6,0.032027066253571546,0.2561664900254704,0.1954197991594305
O+S,elastic_net,7,0.052182621705709864,0.2478121308858573,0.19279060148441038
O+S,elastic_net,8,0.04835486740955919,0.255219810995092,0.19869258218005262
O+S,elastic_net,9,0.029741613190111815,0.24921550825010008,0.19107500951120202
O+S,random_forest,0,0.05500489367868233,0.25748628185952843,0.19930210378970606
O+S,random_forest,1,0.06088180534784393,0.246151129180115,0.1924510642212875
O+S,random_forest,2,0.04649145445159997,0.2397521113582012,0.1847713384966862
O+S,random_forest,3,0.02273201818925663,0.24962464636385698,0.19441146815487925
O+S,random_forest,4,0.0394336556920406,0.26371192890079176,0.19930277899784238
O+S,random_forest,5,0.061433447123175444,0.2491306741998782,0.19382225403833936
O+S,random_forest,6,0.04443382689741904,0.25451951935599065,0.19367008307331338
O+S,random_forest,7,0.06140461229962635,0.2466036136753185,0.1921931979667672
O+S,random_forest,8,0.05154511984066035,0.2547916581439068,0.19816372707067062
O+S,random_forest,9,0.03786944875422049,0.24816947627205746,0.18995032473107076
O+S,hist_gradient_boosting,0,0.0638764420521396,0.25627480016993326,0.19721648723665858
O+S,hist_gradient_boosting,1,0.05698058546732976,0.24666187130930645,0.1923120725959377
O+S,hist_gradient_boosting,2,0.0238516945836742,0.24258170710593566,0.18556480819387652
O+S,hist_gradient_boosting,3,0.013407289246777587,0.25081273196097165,0.193997197641294
O+S,hist_gradient_boosting,4,0.022025627662850766,0.2660907817919181,0.20142400350211317
O+S,hist_gradient_boosting,5,0.03371591532430984,0.2527825437419364,0.1948098741418457
O+S,hist_gradient_boosting,6,0.03245104625838369,0.25611038237955924,0.19307336748810444
