feature_set,model,fold,N_test,r2,rmse,mae
ALL,hgb,0,1100,0.03603602260506955,0.24702243702330634,0.18898589081420555
ALL,hgb,1,1100,0.06610280012540404,0.24753695526474762,0.18869265534419996
ALL,hgb,2,1099,0.015960216755551482,0.2562048619007083,0.1960417016335463
ALL,hgb,3,1099,0.019451180521598554,0.2540365797439284,0.19527728172588874
ALL,hgb,4,1099,0.03454454651598837,0.2594610601550078,0.20153422119009798
ALL,hgb,5,1100,0.05224877652894333,0.2547540847690509,0.1920685937568696
ALL,hgb,6,1100,0.05190317811852896,0.25236321337424006,0.1960466062559831
ALL,hgb,7,1099,0.05602510613769918,0.2560127032795724,0.19533195142352158
ALL,hgb,8,1099,0.0010077729483058961,0.23836277797553235,0.18498523045049736
ALL,hgb,9,1099,0.019636334674243194,0.2600933535216475,0.19899241116622934
